Format Version,1.23,Take Name,Take 2020-09-28 10.54.41 AM_006,Take Notes,,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2020-09-28 11.46.08.181 AM,Total Frames in Take,4655,Total Exported Frames,4655,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019
,ID,"C4410","C4410","C4410","C44D0","C44D0","C44D0","C44E0","C44E0","C44E0","C44F0","C44F0","C44F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,
1,0.004000,,,,,,,,,,,,
2,0.008000,,,,,,,,,,,,
3,0.012000,,,,,,,,,,,,
4,0.016000,,,,,,,,,,,,
5,0.020000,,,,,,,,,,,,
6,0.024000,,,,,,,,,,,,
7,0.028000,,,,,,,,,,,,
8,0.032000,,,,,,,,,,,,
9,0.036000,,,,,,,,,,,,
10,0.040000,,,,,,,,,,,,
11,0.044000,,,,,,,,,,,,
12,0.048000,,,,,,,,,,,,
13,0.052000,,,,,,,,,,,,
14,0.056000,,,,,,,,,,,,
15,0.060000,,,,,,,,,,,,
16,0.064000,,,,,,,,,,,,
17,0.068000,,,,,,,,,,,,
18,0.072000,,,,,,,,,,,,
19,0.076000,,,,,,,,,,,,
20,0.080000,,,,,,,,,,,,
21,0.084000,,,,,,,,,,,,
22,0.088000,,,,,,,,,,,,
23,0.092000,,,,,,,,,,,,
24,0.096000,,,,,,,,,,,,
25,0.100000,,,,,,,,,,,,
26,0.104000,,,,,,,,,,,,
27,0.108000,,,,,,,,,,,,
28,0.112000,,,,,,,,,,,,
29,0.116000,,,,,,,,,,,,
30,0.120000,,,,,,,,,,,,
31,0.124000,,,,,,,,,,,,
32,0.128000,,,,,,,,,,,,
33,0.132000,,,,,,,,,,,,
34,0.136000,,,,,,,,,,,,
35,0.140000,,,,,,,,,,,,
36,0.144000,,,,,,,,,,,,
37,0.148000,,,,,,,,,,,,
38,0.152000,,,,,,,,,,,,
39,0.156000,,,,,,,,,,,,
40,0.160000,,,,,,,,,,,,
41,0.164000,,,,,,,,,,,,
42,0.168000,,,,,,,,,,,,
43,0.172000,,,,,,,,,,,,
44,0.176000,,,,,,,,,,,,
45,0.180000,,,,,,,,,,,,
46,0.184000,,,,,,,,,,,,
47,0.188000,,,,,,,,,,,,
48,0.192000,,,,,,,,,,,,
49,0.196000,,,,,,,,,,,,
50,0.200000,,,,,,,,,,,,
51,0.204000,,,,,,,,,,,,
52,0.208000,,,,,,,,,,,,
53,0.212000,,,,,,,,,,,,
54,0.216000,,,,,,,,,,,,
55,0.220000,,,,,,,,,,,,
56,0.224000,,,,,,,,,,,,
57,0.228000,,,,,,,,,,,,
58,0.232000,,,,,,,,,,,,
59,0.236000,,,,,,,,,,,,
60,0.240000,,,,,,,,,,,,
61,0.244000,,,,,,,,,,,,
62,0.248000,,,,,,,,,,,,
63,0.252000,,,,,,,,,,,,
64,0.256000,,,,,,,,,,,,
65,0.260000,,,,,,,,,,,,
66,0.264000,,,,,,,,,,,,
67,0.268000,,,,,,,,,,,,
68,0.272000,,,,,,,,,,,,
69,0.276000,,,,,,,,,,,,
70,0.280000,,,,,,,,,,,,
71,0.284000,,,,,,,,,,,,
72,0.288000,,,,,,,,,,,,
73,0.292000,,,,,,,,,,,,
74,0.296000,,,,,,,,,,,,
75,0.300000,,,,,,,,,,,,
76,0.304000,,,,,,,,,,,,
77,0.308000,,,,,,,,,,,,
78,0.312000,,,,,,,,,,,,
79,0.316000,,,,,,,,,,,,
80,0.320000,,,,,,,,,,,,
81,0.324000,,,,,,,,,,,,
82,0.328000,,,,,,,,,,,,
83,0.332000,,,,,,,,,,,,
84,0.336000,,,,,,,,,,,,
85,0.340000,,,,,,,,,,,,
86,0.344000,,,,,,,,,,,,
87,0.348000,,,,,,,,,,,,
88,0.352000,,,,,,,,,,,,
89,0.356000,,,,,,,,,,,,
90,0.360000,,,,,,,,,,,,
91,0.364000,,,,,,,,,,,,
92,0.368000,,,,,,,,,,,,
93,0.372000,,,,,,,,,,,,
94,0.376000,,,,,,,,,,,,
95,0.380000,,,,,,,,,,,,
96,0.384000,,,,,,,,,,,,
97,0.388000,,,,,,,,,,,,
98,0.392000,,,,,,,,,,,,
99,0.396000,,,,,,,,,,,,
100,0.400000,,,,,,,,,,,,
101,0.404000,,,,,,,,,,,,
102,0.408000,,,,,,,,,,,,
103,0.412000,,,,,,,,,,,,
104,0.416000,,,,,,,,,,,,
105,0.420000,,,,,,,,,,,,
106,0.424000,,,,,,,,,,,,
107,0.428000,,,,,,,,,,,,
108,0.432000,,,,,,,,,,,,
109,0.436000,,,,,,,,,,,,
110,0.440000,,,,,,,,,,,,
111,0.444000,,,,,,,,,,,,
112,0.448000,,,,,,,,,,,,
113,0.452000,,,,,,,,,,,,
114,0.456000,,,,,,,,,,,,
115,0.460000,,,,,,,,,,,,
116,0.464000,,,,,,,,,,,,
117,0.468000,,,,,,,,,,,,
118,0.472000,,,,,,,,,,,,
119,0.476000,,,,,,,,,,,,
120,0.480000,,,,,,,,,,,,
121,0.484000,,,,,,,,,,,,
122,0.488000,,,,,,,,,,,,
123,0.492000,,,,,,,,,,,,
124,0.496000,,,,,,,,,,,,
125,0.500000,,,,,,,,,,,,
126,0.504000,,,,,,,,,,,,
127,0.508000,,,,,,,,,,,,
128,0.512000,,,,,,,,,,,,
129,0.516000,,,,,,,,,,,,
130,0.520000,,,,,,,,,,,,
131,0.524000,,,,,,,,,,,,
132,0.528000,,,,,,,,,,,,
133,0.532000,,,,,,,,,,,,
134,0.536000,,,,,,,,,,,,
135,0.540000,,,,,,,,,,,,
136,0.544000,,,,,,,,,,,,
137,0.548000,,,,,,,,,,,,
138,0.552000,,,,,,,,,,,,
139,0.556000,,,,,,,,,,,,
140,0.560000,,,,,,,,,,,,
141,0.564000,,,,,,,,,,,,
142,0.568000,,,,,,,,,,,,
143,0.572000,,,,,,,,,,,,
144,0.576000,,,,,,,,,,,,
145,0.580000,,,,,,,,,,,,
146,0.584000,,,,,,,,,,,,
147,0.588000,,,,,,,,,,,,
148,0.592000,,,,,,,,,,,,
149,0.596000,,,,,,,,,,,,
150,0.600000,,,,,,,,,,,,
151,0.604000,,,,,,,,,,,,
152,0.608000,,,,,,,,,,,,
153,0.612000,,,,,,,,,,,,
154,0.616000,,,,,,,,,,,,
155,0.620000,,,,,,,,,,,,
156,0.624000,,,,,,,,,,,,
157,0.628000,,,,,,,,,,,,
158,0.632000,,,,,,,,,,,,
159,0.636000,,,,,,,,,,,,
160,0.640000,,,,,,,,,,,,
161,0.644000,,,,,,,,,,,,
162,0.648000,,,,,,,,,,,,
163,0.652000,,,,,,,,,,,,
164,0.656000,,,,,,,,,,,,
165,0.660000,,,,,,,,,,,,
166,0.664000,,,,,,,,,,,,
167,0.668000,,,,,,,,,,,,
168,0.672000,,,,,,,,,,,,
169,0.676000,,,,,,,,,,,,
170,0.680000,,,,,,,,,,,,
171,0.684000,,,,,,,,,,,,
172,0.688000,,,,,,,,,,,,
173,0.692000,,,,,,,,,,,,
174,0.696000,,,,,,,,,,,,
175,0.700000,,,,,,,,,,,,
176,0.704000,,,,,,,,,,,,
177,0.708000,,,,,,,,,,,,
178,0.712000,,,,,,,,,,,,
179,0.716000,,,,,,,,,,,,
180,0.720000,,,,,,,,,,,,
181,0.724000,,,,,,,,,,,,
182,0.728000,,,,,,,,,,,,
183,0.732000,,,,,,,,,,,,
184,0.736000,,,,,,,,,,,,
185,0.740000,,,,,,,,,,,,
186,0.744000,,,,,,,,,,,,
187,0.748000,,,,,,,,,,,,
188,0.752000,,,,,,,,,,,,
189,0.756000,,,,,,,,,,,,
190,0.760000,,,,,,,,,,,,
191,0.764000,,,,,,,,,,,,
192,0.768000,,,,,,,,,,,,
193,0.772000,,,,,,,,,,,,
194,0.776000,,,,,,,,,,,,
195,0.780000,,,,,,,,,,,,
196,0.784000,,,,,,,,,,,,
197,0.788000,,,,,,,,,,,,
198,0.792000,,,,,,,,,,,,
199,0.796000,,,,,,,,,,,,
200,0.800000,,,,,,,,,,,,
201,0.804000,,,,,,,,,,,,
202,0.808000,,,,,,,,,,,,
203,0.812000,,,,,,,,,,,,
204,0.816000,,,,,,,,,,,,
205,0.820000,,,,,,,,,,,,
